imageNum,descriptors
0051,"bird,made,nut,piercing,stuck,tree,woodpecker,articial,attached,background,bait,bar,black,board,care,caught,cereal,circle,desperate,equipment,high,hole,line,off,pattern,penetrating,pierce,pillar,poking,room,seed,small,speed,stop,symbol,time,trunk,two,wall,white"
0056,"building,high,lined,many,rise,adjacent,ahead,beautiful,blue,city,clear,daytime,densely,entire,felt,forest,land,landfill,lining,modern,night,nothing,ocean,park,plenty,scenery,screen,sea,sky,skyscraper,someday,stand,surrounded,top,vast,view,wishing"
0063,"hippopotamus,big,child,feeling,head,three,water,amenable,another,approachinging,beyond,body,center,considering,edge,face,family,hoisting,lying,one,parent,really,relaxing,resting,river,seen,sideways,small,stand,standing,sunny,transmitted,two,waterfront,well"
0067,"blackboard,classroom,atmosphere,foreign,man,note,serious,student,woman,back,behind,bit,black,blue,class,composition,draw,drawing,dressed,eager,education,essay,exam,eye,face,felt,fun,glass,gray,highschool,holding,issued,late,lesson,light,lined,little,mature,nobody,notebook,pen,people,perhaps,probably,scarf,seat,seemingly,shirt,spelling,stuffed,taking,task,teen,teenager,tension,thin,transmitted,two,wall,watching,white,writing"
0069,"love,object,picture,under,woman,big,couple,fountain,two,back,close,family,front,imitating,inside,largely,lined,looking,member,monument,neighborhood,pair,park,photo,pose,seemed,shoulder,similar,suspicion,taking,word,written"
0077,"book,chair,cover,one,atmosphere,bible,brown,church,red,thick,title,backrest,center,english,felt,fine,hard,harsh,leg,line,lined,made,many,overall,placed,plenty,purple,same,screen,seat,somehow,surroundings,understand,wood,wooden,written"
0084,"light,sky,calm,moon,night,above,appear,atmosphere,attached,beautiful,best,blue,boundary,bright,city,color,coloration,day,divided,even,fantastic,glittering,healed,horizon,indigo,lake,land,large,line,more,mountain,ocean,overall,river,scenery,sea,seeing,shining,show,space,sparkling,spreading,standing,throughout,tiredness,tomorrow,town,view,water,wave,wonderful"
0085,"sky,number,panel,shape,solar,square,appear,blue,bottom,build,center,clear,cluster,collectinging,corner,curved,dented,depressed,energy,facing,fine,gather,gentle,heading,inside,installed,light,lined,many,metal,object,part,rod,round,shaped,slightly,storing,sun,sunlight,unusual,weather"
0089,"animal,grass,looking,face,food,sand,small,area,armadillo,badger,cute,dig,dry,earth,eating,front,grew,ground,growing,leg,little,long,man,neck,place,pushing,rough,sandbox,several,soil,stick,strange,tail"
0097,"magma,black,red,hot,orange,place,sun,surface,yellow,abnormally,actually,bright,burning,color,dark,drew,emitting,eruption,fall,fear,fire,high,light,likely,little,mars,much,one,part,pattern,reflected,scared,screen,sparsely,spreading,sucked,temperature,torn,volcano"
0099,"fabric,green,satin,shiny,wrinkle,light,screen,attractive,cloth,concerned,costume,curator,dress,elegant,exclusive,full,gathered,glossy,guess,hardship,making,many,reflected,shadow,shine,shown,silk,slightly,spread,thin,wave"
0104,"goat,eating,grass,several,beautiful,black,body,brown,cloud,color,cow,cute,evening,felt,got,idyllic,impression,knew,laughing,meadow,meal,never,one,orange,play,prairie,screen,seemed,seen,sky,slowly,spread,sun,terribly,time,walking,wanted,white,whole,wild,without"
0109,"man,forklift,hose,place,water,working,workplace,already,base,black,box,clean,coal,container,felt,flow,fun,item,loaded,many,motion,organized,overall,packed,puddle,scenery,shown,spraying,stacked,vest,washing,watering,wearing,white,work,worker,yellow"
0113,"painting,drawing,large,museum,front,man,people,picture,woman,adult,amount,aunt,big,boy,couple,crowded,depicting,describing,different,display,explanation,grandchild,grandfather,grandmother,husband,imagine,interesting,looking,lying,many,place,russian,saying,seeing,soldier,son,talking,thinking,towards,visited,wall,wartime,watching,wife"
0123,"night,sky,star,mountain,shining,shooting,silhouette,spread,tree,back,beautiful,big,black,bright,center,color,cross,especially,even,fantastic,feeling,front,growing,hand,hill,hitting,landscape,large,little,over,perfect,rainbow,rock,shade,shaded,starry,two,upper,whole,yellow"
0126,"woman,pen,gray,hand,purple,serious,appear,beautiful,being,bobs,cheer,classroom,color,decoration,desk,did,different,during,eager,ethnic,evidentlyirritated,exam,face,finger,head,holding,id,inner,jacket,little,middle,necklace,one,parka,person,point,reason,ring,scarf,seeing,sense,short,tension,testing,thinking,tilted,transmitted,wear,wearing,white,woolen"
0137,"cloud,sky,blue,floating,refreshing,white,anywhere,beautiful,being,better,bright,clear,feeling,felt,grayish,impression,inhaled,little,looking,picnic,rain,screen,seen,shown,smartphone,sometimes,spread,spreading,taken,thin,throughout,under"
0140,"woman,bathrobe,man,sense,sitting,time,antique,atmosphere,bath,being,brown,calm,chair,chic,family,feeling,furniture,home,hotel,important,incompatibility,interior,long,magazine,one,overall,people,place,quality,relaxing,rich,robe,room,seat,sofa,sometimes,style,talking,two,warm,wearing,white"
0145,"light,moving,neon,shine,alone,amplify,amusement,attraction,big,blurry,bright,building,catch,confirm,dark,darkness,daytime,dazzling,earth,even,fear,fence,flashy,green,here,illuminated,leaning,looking,machine,made,man,metal,more,move,movement,near,night,noon,park,people,red,scream,screaming,screen,signboard,sitting,standing,surroundings,woman,yellow"
0151,"carpet,head,people,row,bowing,colorful,decoration,floor,lined,red,against,arabic,beautiful,building,ceremony,dozen,enough,forehead,geometric,given,glass,hall,impressive,interior,knee,line,little,low,man,painted,palace,pattern,praying,put,religious,shown,stained,style,temple,wall,wearing"
0159,"become,clothes,people,piled,snow,walking,warm,winter,acting,active,adult,around,beautiful,behind,build,building,cheerful,child,city,coat,cold,colorful,dressed,everybody,feeling,hat,landscape,many,nonetheless,rectangle,resort,scenery,selling,several,shop,ski,slope,square,stacking,stone,terrible,tool,wear,wearing"
0174,"wall,painting,picture,pillar,white,candle,drawing,fire,front,lit,sculpture,under,able,altar,back,between,building,christ,close,composed,curved,decoration,edge,given,hat,history,mural,off,outdoors,piece,place,religious,screen,space,three,two,walking,wearing,woman"
0177,"ball,bunker,golf,hitting,man,green,mountain,appear,back,beside,better,beyond,club,course,direction,enjoying,finished,flying,game,good,gouged,hope,moment,nature,open,part,pin,place,rocky,sand,sandbox,score,scraped,shot,stamped,stopped,sucked,towards,usual,vast,well,wonder"
0183,"bus,decker,double,people,city,car,crowded,many,red,run,street,taxi,walking,along,big,building,clothes,coming,downtown,large,line,messy,overseas,person,race,reflected,road,rough,sightseeing,spot,tall,various"
0186,"animal,face,sun,big,blue,horse,light,nose,reflected,shining,sky,snow,tree,white,back,background,blazing,close,comical,coming,coniferous,cute,far,felt,front,ground,hair,here,kind,one,over,pointing,scene,shown,silver,spread,stacked,top,trouble,upside,wearing,woman,world"
0190,"glass,man,wine,bread,front,pouring,restaurant,basket,decanter,gray,old,aged,angry,bald,bright,containing,cranky,did,drink,eat,eating,even,eyeglass,face,hair,hand,having,holding,kind,light,lunch,match,middle,mustache,nothing,one,outside,person,piece,pitcher,plate,put,red,replace,scenery,sky,still,tasty,tilting,time,tried,try,various,wearing,white,window"
0196,"clock,hand,second,afternoon,around,basis,black,care,cherish,close,consciousness,daily,difficult,face,growing,mean,morning,number,red,round,scale,sleepy,time,understand,wanted,watch,white"
0205,"locker,room,blue,man,school,student,two,woman,young,abroad,along,atmosphere,become,beside,boy,chatting,class,clothes,college,different,face,felt,fun,game,girl,group,hand,impression,little,local,much,opposite,overseas,people,place,probably,sad,standing,story,talking,unlike,vertical,well,without"
0212,"ball,man,mountain,sand,soccer,gravel,heavy,kicking,machine,tshirt,bad,behind,being,boy,center,doe,foot,hand,handling,high,hitting,lifting,many,over,place,playing,poor,position,quarry,red,short,slip,spread,stacked,surrounded,triangle,wearing,white,young"
0214,"black,cage,cat,white,narrow,padlock,two,atmosphere,basket,blanket,coat,eye,hug,inside,locked,lonely,metallic,one,poor,respectively,silver,strong,tight,toilet,yellow"
0221,"bakery,cafe,shop,stall,street,building,corner,front,above,accessory,across,along,atmosphere,brick,business,café,calling,customer,drop,dropped,eaves,exterior,green,image,local,looking,passersby,people,road,screen,show,shown,sight,signboard,slightly,sold,store,succeed,wall,wrote"
0229,"written,amp,black,button,four,lamp,switch,three,able,different,distinguish,exist,green,lit,machine,middle,one,pair,place,pointing,same,set,shown,sound,stage,staged,third,total,two,vertically,yellow"
0236,"mountain,straight,track,destination,green,signboard,train,center,country,distant,doe,extending,general,grass,growing,mean,plenty,rail,railway,rank,reflected,run,single,spread,surrounded,tree,wondered"
0239,"green,large,vast,barley,car,cloudy,field,harvest,land,machine,sky,wheat,big,catch,center,dark,diagonal,figure,flowing,grass,gray,harvesting,hay,huge,human,impossible,magnificent,moving,mowing,people,power,rain,running,screen,served,sight,smoke,smoking,somewhat,tire,under,wheel,white,without,working,yellow"
0245,"bar,people,back,carrying,cocktail,counter,many,waiter,wall,alcohol,area,bit,bottle,bright,chilly,crowded,day,daytime,drink,during,guest,interior,jacket,lined,old,several,shelf,short,sitting,sleeve,store,table,time,tone,two,wearing,woman,wooden,working"
0249,"helicopter,airplane,caught,electric,flying,low,wire,altitude,back,background,being,below,big,cloud,cloudy,danger,land,man,movie,off,one,person,reflected,rescue,show,someone,step,stick,stunt,taken,wonder"
0257,"fruit,grape,green,red,scissors,harvest,jean,jersey,people,tasty,tree,yellow,adidas,caught,center,clothes,color,conspicuous,cut,delicious,denim,entire,glass,hold,line,lined,muscat,off,person,plier,possibility,rip,ripe,screen,small,someone,spreading,taking,taste,three,unnatural,using,wearing,white"
0260,"made,building,earth,many,pink,poor,roof,school,wood,blue,build,child,clothes,color,country,enjoyment,fall,felt,foreign,gathered,half,hope,horizontal,house,light,pant,pillar,pretty,shown,skirt,soil,student,tattling,tin,uniform,wearing"
0261,"child,girl,people,boy,costume,different,standing,wearing,arranging,black,blue,body,brim,calling,cloth,color,concrete,covering,crowd,dance,dancing,daughter,ethnic,festival,floor,fur,gathered,gender,gray,group,hand,hanging,hat,lined,made,man,men,mexican,near,one,orange,orientation,outward,pant,parade,parent,pavement,red,reflected,round,square,stone,straw,style,suffering,surroundings,waist,watching,wear,white"
0268,"english,written,character,letter,meaning,sentence,background,being,bible,book,clean,content,enlarged,fuzzy,handwritten,impression,interesting,ive,lining,machine,novel,part,screen,seen,somewhat,struck,understand,white,word"
0271,"background,bottle,glass,green,liquid,poured,yellow,cup,light,transparent,white,clear,cold,dark,delicious,drink,elongated,finger,good,gray,holding,hot,juice,little,one,plastic,pouring,pure,started,thin,thirsty,translucent,upward,vertically"
0277,"front,tombstone,woman,child,coming,grave,heart,lawn,shaped,adult,baby,back,beautiful,big,body,boy,bright,cemetery,country,day,deceased,decoration,directs,distant,during,eye,flower,foreign,good,gravestone,graveyard,green,herself,hug,hugging,looks,maintained,parent,red,shadow,small,spreading,sunshine,tomorrow,tree,two,weather,young"
0282,"gravel,green,mountain,sheep,sitting,three,child,ground,nature,two,animal,back,background,beautiful,behind,bloom,cozy,even,flower,flowers,front,grass,growing,head,here,one,parent,piece,resting,rising,road,shown,small,spread,stoney,together,watching,white,wild"
0285,"animal,stuffed,ball,game,hole,child,girl,hanging,parent,plenty,throwing,toy,already,around,ceiling,center,considering,corner,decoration,family,fine,frame,fun,hard,here,looking,many,one,place,play,playing,plush,prize,put,round,shop,square,state,store,wall,won,work"
0293,"ship,boat,five,lined,liner,luxury,passenger,port,big,emerald,giant,green,high,intimidation,large,life,line,many,pier,place,provided,ride,sea,seen,sense,several,show,size,skyscraper,state,wanted,white,wondered"
0308,"shop,line,lining,many,people,rain,sign,signboard,street,umbrella,written,big,countryside,english,example,front,great,here,holding,hood,japanese,letter,number,one,overseas,person,popular,roadside,sidewalk,small,various,walking"
0312,"bicycle,brown,growing,man,mountain,place,three,become,bike,climbing,color,crop,decoyed,drink,dry,earth,entire,grass,ground,grow,heat,important,land,likely,okay,over,red,running,scorching,screen,spreading,stroke,sun,train,tree,young"
0313,"glove,woman,pink,tank,top,yellow,fighting,hair,hand,one,pose,background,behind,blonde,blurry,boxing,came,center,cool,dark,exercise,form,forward,gather,hit,holding,lip,looking,punching,reflected,taking,thin,wear"
0316,"building,sea,white,hotel,parasol,person,resort,apartment,area,back,balcony,beach,beautiful,beyond,blue,color,day,emerald,enjoying,entire,front,gradation,green,high,island,land,lined,lining,lower,ocean,place,rise,seen,sleeping,spend,spreading,sunbathing,terrace,throughout,umbrella,veranda"
0321,"black,man,phone,public,calling,hat,wearing,hair,long,back,jumper,around,behind,bind,body,car,center,dull,hanging,happening,holding,impression,little,making,mouth,never,noisy,old,passenger,screen,seen,serious,set,show,silver,sky,slightly,talking,tight,troubled,try,under,upper,whole,woman,wonder,worried,year"
0332,"airport,people,reflected,advertisement,asian,booth,common,dressed,dutyfree,filled,floor,full,half,hot,large,lightly,lobby,luggage,many,off,outside,shadow,shiny,shop,situation,sleeve,somewhere,stop,traveler,walking,white,whole"
0333,"bridge,beautiful,boat,city,house,river,small,stone,artistic,atmosphere,balanced,bank,building,canal,cityscape,cloud,concerned,country,enchanting,europe,even,fashionable,felt,floating,got,history,honorable,image,impression,landscape,large,line,live,manner,miniature,ocean,old,over,place,postcard,pretty,quiet,shape,ship,sky,two,wall,water,wave,well,white,without"
0338,"black,child,camera,face,reflected,appealinging,atmosphere,boy,center,death,entertainment,every,everybody,eye,having,laughing,murderous,one,rugged,running,smiling,somewhat,steep,strange,thinking,towards,wondering"
0341,"beach,big,many,rock,sand,wave,white,rough,stone,animal,beautiful,brown,calm,cast,cloudy,cold,end,everybody,flat,footstep,garbage,influenced,itself,lonely,place,rolling,rounded,sea,sky,unsuitable,well"
0352,"carrying,clothes,cylinder,wearing,white,factory,large,object,rocket,truck,airplane,back,big,boat,catch,future,huge,important,impulse,launch,launched,made,man,mechanic,outdoors,over,part,people,pulled,several,shown,specialized,standing,table,tense,towards,watching,wondering,work,working"
0355,"cart,center,inside,shelf,store,basket,home,item,shopping,vase,annoying,back,bag,better,between,bit,blue,bowl,buy,carrying,daughter,end,entering,front,girl,girlfriend,glass,good,guess,hard,heavy,household,ingredient,lined,looking,man,mother,myself,over,pink,point,pot,pottery,shop,trouser,vast,walking,weight"
0376,"running,big,lane,road,car,long,truck,accident,attention,board,cargo,carrying,center,curved,cylinder,danger,diagonal,fall,great,high,large,mountain,passenger,pay,pillar,reflected,round,run,screen,speed,three,trailer,two,ultra,weight"
0385,"coffee,milk,cup,black,sugar,being,bread,poured,put,table,white,above,become,beside,cafe,checkered,chocolate,coming,container,containing,day,delicious,desk,dish,drink,full,good,impression,jar,meal,moment,morning,pattern,pitcher,placed,pouring,silver,sleeping,smell,stylish,tile,vessel"
0390,"bat,blue,apple,become,black,hitting,lawn,light,man,wearing,arm,background,bad,ball,baseball,blood,body,color,day,dressed,enjoying,face,form,full,furniture,green,growing,home,imagine,moment,nice,off,park,person,powerful,reflected,run,shirt,short,shown,sleeve,strained,swing,tshirt,vessel,waving"
0393,"road,straight,blue,extending,mountain,sky,vast,car,climate,comfortable,exhilarating,falling,gentle,highway,image,indescribable,landscape,long,lower,mysterious,one,over,pleasant,range,reflected,refreshing,running,slope,snow,somewhere,sunlight,together,under"
0399,"flag,green,white,eagle,color,drawing,flapping,middle,orange,red,stripe,vertical,background,being,bird,cactus,center,closeup,cloth,country,dark,divided,end,given,grass,hawk,holding,motif,national,noble,part,pattern,reflected,snake,stuck,three,wind"
0402,"building,city,people,back,big,blue,car,certain,cityscape,cloud,color,construction,day,development,display,facing,felt,good,here,high,hotel,large,lined,main,mall,many,might,modern,one,park,part,reminiscent,rise,seen,shape,shopping,shown,situation,sky,street,theme,time,townscape,under,various,whole,without"
0405,"woman,foot,place,yoga,hand,one,pose,raise,abnormally,air,alone,backward,behind,black,blue,canyon,center,commercial,dark,dry,grand,gray,half,heel,holding,landscape,likely,looks,middle,mountain,pant,part,sand,sky,small,spreading,stable,standing,strangeness,stretch,taking,tank,top,upper,wearing"
0413,"smoke,black,background,orange,beautiful,certain,clothes,clump,cotton,diagonally,extending,felt,flow,flying,good,kind,lower,mushroom,object,red,rocket,shown,sky,small,space,spreading,state,swelling,tempuras,toward,upper,water"
0423,"bloom,blossom,cherry,flower,blue,clean,front,full,leaf,sky,assertive,clearly,coming,cup,focus,gap,greedy,green,kind,little,man,many,newcomer,open,over,pale,petal,prosper,screen,season,show,smell,spring,sprouting,state,tree,wait,well"
0434,"airplane,carrying,center,back,bag,cloudy,compact,customer,employee,fly,jealous,jet,little,load,loading,luggage,man,mechanic,one,people,person,plane,private,shown,sky,slightly,small,smaller,stand,stopping,suitcase,two,under,walking,white,wonder"
0441,"building,blue,child,around,man,many,pink,school,teacher,wall,attached,beyond,big,black,clothes,color,country,developing,doe,elongated,fact,flat,girl,glass,grass,lattice,light,long,looking,middle,number,outside,painting,reflected,same,shirt,shop,simple,skirt,sky,stand,temporary,trouser,under,uniform,wearing,white,window,writing"
0444,"road,animal,grass,growing,apart,back,become,beside,between,bottom,car,center,clearly,color,confused,continuing,crossing,doe,empty,family,fox,green,here,identify,looking,one,quiet,run,same,shaped,short,spreading,tall,top,tree,vacant,walking,watching,white,withered"
0446,"hair,man,wall,blonde,brush,white,face,hand,paint,painting,serious,short,work,appearance,big,building,captured,carving,colorful,cool,degree,double,facial,facing,former,gazing,good,long,mohawk,moment,neat,originally,repair,site,soft,style,under,using,wrist,young"
0452,"man,woman,hand,bouquet,flower,happy,rose,talking,white,anniversary,appearance,asking,background,birthday,blonde,celebration,center,dress,efforts,error,gentle,holding,kind,looked,made,over,placed,practicing,present,purple,putting,red,scene,shoulder,space,stand,transmitted,trial,young"
0457,"night,view,building,house,light,plenty,able,ahead,amazing,apart,being,bit,blue,breath,bridge,bright,calling,center,city,clean,consume,dazzling,dollar,electricity,glitter,hear,high,human,inshown,large,line,lit,magnificent,main,many,million,much,nightscape,one,people,real,rise,road,scared,spreading,star,street,surely,wanted"
0469,"three,center,front,girl,locker,note,talking,watching,woman,blonde,break,brunette,chatting,chest,child,conversation,dark,dubious,happy,laughing,lord,man,middle,one,people,red,released,smiling,studying,text,time,two"
0474,"kissing,man,woman,background,black,active,appearance,close,couple,dark,eye,face,foreign,made,moment,neck,people,secret,show,strong,tied,two,uncomfortable,young"
0475,"man,hose,large,purple,track,water,wearing,activity,basket,bed,box,building,came,center,changing,container,danger,deal,display,easy,extinguisher,extinguishing,fire,grain,gravel,green,hand,high,hosing,jet,kind,material,off,pit,poured,powder,pressure,spraying,substance,sunglass,train,truck,turning,type,using,washing,worker"
0484,"various,above,ball,color,flying,kind,pattern,sphere,air,balloon,beautiful,bowl,candy,clean,cute,dreamlike,falling,fell,fence,fly,many,plan,pop,popular,reflected,room,situation,size,super,terrific,white,wonder,world"
0494,"crack,brown,dry,green,ground,leaf,little,made,plant,soil,above,back,broken,drought,dyed,earth,fiber,full,grass,growing,happening,land,many,place,progressing,red,rock,screen,small,spread,still,stone,thin,throughout"
0499,"man,tennis,playing,sunglass,court,old,racket,thin,wearing,anyone,bright,clothes,cool,enjoying,figure,grasping,hair,healthy,holding,hungry,laughing,leg,line,one,outdoor,play,pretty,smile,sport,sportsmanship,sun,white,young"
0507,"light,people,background,black,bright,hand,live,raising,silhouette,towards,year,appearance,arm,artist,band,center,close,conveyed,delight,due,entire,five,glow,man,might,million,more,occupies,old,ordinary,pleased,pose,probably,raised,screen,seen,several,shaded,sight,stage,thousand,upward,violent,wonder"
0520,"rock,sun,big,light,shining,afterwards,appear,around,back,center,completely,coral,corner,cover,dazzling,directly,dry,exposed,felt,large,little,made,mountain,nature,ocean,peeping,power,powerful,rise,rocky,same,screen,sea,spreading,sunlight,taking,terrible,things,towering,upper,wanted"
0521,"caterpillar,big,black,branch,dead,ground,tail,animal,asphalt,bit,body,broken,bushy,cat,copy,creepy,dry,falling,figure,form,fur,grass,huge,leaf,might,moment,scattered,seen,tea,twitching,unpleasant,wood"
0529,"eat,family,parent,table,bright,child,dish,father,girl,member,mother,sitting,small,sunlight,woman,beside,breakfast,cutting,daughter,decoration,delicious,enter,felt,fit,flower,front,happy,looking,middle,one,pleasant,red,restaurant,speaking,symbolic,tablecloth,taking,three,well,white,window"
0538,"coaster,roller,blue,red,behind,curved,rail,reflected,running,appearance,approachinging,buried,fact,fear,felt,filming,fine,frame,lane,popular,seat,sense,sky,speed,steel,threefold,thrilling,vacant,weather,whole"
0541,"three,woman,costume,place,ruin,dance,ethnic,golden,indian,old,stone,wearing,accessory,angkor,barefoot,cambodia,clothes,culture,dancing,dark,donation,dressed,folk,foot,hat,head,indonesia,made,man,masonry,ornament,peculiar,people,play,pose,pretty,religious,saw,similar,smilingly,taking,unique"
0550,"canada,flag,red,clear,color,leaf,maple,white,appearance,being,big,bright,canadas,center,close,confidence,entire,feeling,folded,highlighted,obviously,overflowing,overlooked,part,pride,projected,scheme,shown,slightly,state"
0558,"man,blowing,hat,mouth,paper,thin,three,toy,tube,wearing,whistle,add,asian,back,being,black,center,color,dark,decoration,done,event,extending,glitter,glittering,growing,handmade,item,likely,long,made,mechanism,purple,same,shiny,sitting,straight,street,stretch,vigorously"
0570,"two,animal,brown,green,growing,flower,yellow,animation,appear,beautiful,behind,bloom,coat,color,creature,deer,donkey,ear,eating,felt,food,grass,grassland,greenery,hair,herbivorous,ineffective,may,meadow,nature,one,picture,plant,quiet,relaxing,scene,standing,vicinity,walking,wild,wrote"
0577,"sky,sun,sunset,calm,cloud,mountain,orange,over,scenery,still,sunrise,backlit,beautiful,become,big,black,center,colored,dark,dim,drawing,dyed,figure,flow,forever,gentle,gradation,heart,horizon,light,looking,lower,moment,morning,one,range,refreshing,rise,screen,setting,silhouette,sinking,starting,surroundings,upside"
0584,"man,woman,kitchen,looking,making,mixer,another,appear,behind,big,breakfast,center,containing,cook,couple,cup,delicious,foreign,friend,front,fun,gas,good,healthy,many,one,pink,probably,screen,show,smoothie,smoothy,sport,stove,table,taste,term,three,together,two,wonder,work"
0589,"happy,man,three,woman,young,conversation,cute,felt,five,having,people,sitting,student,talking,two,wall,wonder,brick,brown,chatting,classmate,excited,expression,face,feeling,front,group,little,neat,one,red,smiled,smiling,story,turning,unfaithful,university,well"
0596,"airport,airplane,plane,stopped,building,car,cloud,many,place,sky,two,appearance,around,back,big,cargo,concrete,crowded,danger,divided,middle,move,passenger,placed,reflected,screen,somewhat,space,square,state,striking,terminal,tow,trolley,vast,white,whole"
0599,"car,night,white,building,castle,city,high,hotel,parked,rise,road,across,apartment,back,beside,bright,build,came,class,imitating,intersection,liberty,light,line,lit,park,passenger,reflected,run,screen,shining,skyscrapers,statue,street,tall,theme,vast,vegas"
0606,"fountain,umbrella,purple,walking,around,dad,front,girl,lawn,park,walk,adult,ahead,almost,amusement,asking,back,behind,black,brick,child,colorful,conversation,discomfort,family,flower,garden,gazing,granddad,green,happy,holding,id,kind,laughing,light,little,made,man,near,rain,sight,smile,spread,stone,street,vertically,watching,wonder,young"
0614,"green,mixer,white,pea,ball,bowl,containing,hand,amount,bean,boiling,crushing,delicious,design,drama,even,grabbing,hairy,handheld,home,imagine,large,man,people,put,seasoning,seen,slightly,started,stirring,why,without,working"
0625,"bicycle,taxi,customer,driver,lying,placed,resting,three,wheeled,assimilating,back,bet,chair,city,country,edge,fashioned,foreign,guest,land,lie,loading,man,old,people,platform,put,rickshaw,road,roof,seat,seated,shoulder,sitting,street,tired,transportation,went"
0628,"girl,looking,red,woman,binoculars,mother,shoulder,standing,tattoo,wearing,big,blue,clothes,common,deck,dress,facing,fat,kind,landscape,light,observation,one,person,piece,sea,seen,somewhere,sunglass,telescope,together,top,tube,watching"
0631,"lying,people,playing,grass,guitar,many,park,sitting,vast,around,back,beautiful,big,board,chatting,circle,comfortable,everybody,forest,game,grassland,green,group,hit,holding,keen,lawn,light,man,person,place,round,shooting,spacious,standing,talking,walking,white"
0634,"sitting,woman,circle,people,green,lawn,park,place,six,according,adult,asking,back,child,circling,eager,expanding,five,foreign,id,kind,listening,man,middle,note,old,one,open,person,round,several,shape,space,story,study,sunglass,support,taking,talking,teacher,tree,vast,wearing,writing,young"
0638,"running,three,animal,deer,grass,meadow,nature,aerial,appearance,around,chased,densely,desperate,different,enormous,escape,forest,green,grew,ground,image,instinct,little,over,place,plain,pleasant,rock,rush,several,show,somehow,spread,throughout,type,vast,wild,zone"
0641,"man,canoe,descending,flowing,river,boat,flow,hand,red,stream,balance,control,difficult,dynamic,enjoying,equipment,fall,fast,flown,hard,helmet,himself,holding,intense,life,may,moderate,moment,oar,person,pleasant,quickly,riding,rowing,saving,small,sport,striking,sunshine,torrential,walking,water,wear"
0651,"blue,cloth,red,woman,ground,yellow,beautiful,hanging,asian,behind,big,black,blowing,brown,costume,dress,dry,dyed,ethnic,exotic,fell,front,hair,hung,large,larger,long,made,many,one,piece,placed,respectively,sight,skin,soft,southeast,standing,time,vast,vivid,walking,wall,watching,wearing,wind"
0655,"laughing,man,white,blue,chair,flower,glass,hair,red,sitting,wearing,around,back,bright,cafe,center,conversation,corner,dark,did,enjoying,eyeglass,facing,figure,floor,friend,fun,gathering,gentleman,gray,happy,impression,lump,many,middle,open,orange,overseas,plant,restaurant,say,screen,shirt,showing,silver,sky,someone,striped,style,surroundings,teeth,terrace,three"
0664,"child,hospital,dad,front,room,talking,two,across,boy,came,corridor,doctor,face,father,filial,happening,height,important,listening,man,mother,ominous,operating,period,piety,rebellious,scene,shirt,short,smile,stand,standing,story,talk,teacher,wearing,white,woman,workplace"
